procedure,from_step,to_step
Legislative Reform Order,LROAFF AB,LROAFF AE
Legislative Reform Order,LROAFF AE,LROAFF AB
Legislative Reform Order,LROAFF AB,LROAFF AG
Legislative Reform Order,LROAFF AG,Decision on motion to approve the instrument deferred
Legislative Reform Order,LROAFF AH,Instrument rejected
Legislative Reform Order,LROAFF AB,LROAFF AH
Legislative Reform Order,LROAFF AR,Instrument approved
Legislative Reform Order,Instrument rejected,LROAFF AE
Legislative Reform Order,Instrument approved,LROAFF AE
Legislative Reform Order,LROAFF AE,LROAFF AB
Legislative Reform Order,LROAFF AA,LROAFF AO
Legislative Reform Order,LROAFF AO,LROAFF AC
Legislative Reform Order,LROAFF AB,LROAFF AR
Legislative Reform Order,LRO BK,LROAFF AR
Legislative Reform Order,LROLCC AF,LROAFF AZ
Legislative Reform Order,LROAFF AR,LROAFF AK
Legislative Reform Order,LROAFF AK,LROAFF AK
Legislative Reform Order,LRO BD,LROAFF AJ
Legislative Reform Order,LRO AY,LROAFF AJ
Legislative Reform Order,LROAFF AJ,LROAFF AK
Legislative Reform Order,LROAFF AK,LROAFF AL
Legislative Reform Order,LRO AX,LROAFF AL
Legislative Reform Order,LROAFF AL,LROAFF AM
Legislative Reform Order,LRO AZ,LROAFF AG
Legislative Reform Order,LROAFF AG,LROAFF AM
Legislative Reform Order,LROAFF AM,LROAFF AN
Legislative Reform Order,Motion to stop the instrument becoming law approved,LROAFF AH
Legislative Reform Order,LROAFF AH,LROAFF AN
Legislative Reform Order,LROAFF AN,LROAFF AI
Legislative Reform Order,LROAFF AI,Question on a non-fatal motion to object to the instrument put
Legislative Reform Order,Question on a non-fatal motion to object to the instrument put,LROAFF AC
Legislative Reform Order,LROAFF AC,LROAFF AI
Legislative Reform Order,LROAFF AI,LROAFF AH
Legislative Reform Order,LROAFF AH,LROAFF AJ
Legislative Reform Order,LROAFF AH,LROAFF AK
Legislative Reform Order,LROAFF AJ,Non-fatal motion to object to the instrument approved
Legislative Reform Order,LROAFF AK,Non-fatal motion to object to the instrument rejected
Legislative Reform Order,Non-fatal motion to object to the instrument approved,LROAFF AF
Legislative Reform Order,Non-fatal motion to object to the instrument rejected,LROAFF AF
Legislative Reform Order,LROAFF AF,LROAFF AC
Legislative Reform Order,LRO AY,LROAFF AS
Legislative Reform Order,LROAFF AK,LROAFF AS
Legislative Reform Order,LROAFF AS,LROAFF AT
Legislative Reform Order,Chamber debate,LROAFF AT
Legislative Reform Order,LROAFF AT,LROAFF AU
Legislative Reform Order,LRO AZ,LROAFF AU
Legislative Reform Order,LROAFF AU,LROAFF AO
Legislative Reform Order,LROAFF AO,Question on a motion to stop the instrument becoming law put
Legislative Reform Order,Question on a motion to stop the instrument becoming law put,LROAFF AE
Legislative Reform Order,LROAFF AE,LROAFF AM
Legislative Reform Order,LROAFF AM,LROAFF AJ
Legislative Reform Order,LROAFF AJ,LROAFF AP
Legislative Reform Order,LROAFF AJ,LROAFF AQ
Legislative Reform Order,LROAFF AP,Motion to stop the instrument becoming law approved
Legislative Reform Order,LROAFF AQ,Motion to stop the instrument becoming law rejected
Legislative Reform Order,Motion to stop the instrument becoming law rejected,LROAFF AH
Legislative Reform Order,Motion to stop the instrument becoming law approved,LROAFF AH
Legislative Reform Order,LROAFF AH,LROAFF AE
Legislative Reform Order,LRO AX,LROAFF AH
Legislative Reform Order,LROAFF AI,LROAFF AM
Legislative Reform Order,LROAFF AI,LROAFF AN
Legislative Reform Order,LROAFF AM,Instrument approved
Legislative Reform Order,LROAFF AN,Instrument rejected
Legislative Reform Order,Instrument approved,LROAFF AG
Legislative Reform Order,Instrument rejected,LROAFF AG
Legislative Reform Order,LROAFF AG,LROAFF AD
Legislative Reform Order,Instrument rejected,LROAFF AB
Legislative Reform Order,Motion to stop the instrument becoming law approved,LROAFF AB
Legislative Reform Order,LROAFF AB,LROAFF AC
Legislative Reform Order,Instrument rejected,LROAFF AC
Legislative Reform Order,LROAFF AC,LROAFF AC
Legislative Reform Order,LROAFF AC,LROAFF AD
Legislative Reform Order,Instrument withdrawn from the House of Commons,LROAFF AJ
Legislative Reform Order,Instrument withdrawn from the House of Lords,LROAFF AJ
Legislative Reform Order,LROAFF AJ,LROAFF AD
Legislative Reform Order,LROAFF AD,LROAFF AD
Legislative Reform Order,Instrument approved,LROAFF AH
Legislative Reform Order,Instrument approved,LROAFF AH
Legislative Reform Order,LROAFF AH,LROAFF AE
Legislative Reform Order,LROCCC AG,LROAFF AE
Legislative Reform Order,LROLCC AE,LROAFF AE
Legislative Reform Order,LROAFF AE,LROAFF AF
Legislative Reform Order,LROAFF AD,LROAFF AF
Legislative Reform Order,LROAFF AF,LROAFF AI
Legislative Reform Order,LRO AL,LROAFF AI
Legislative Reform Order,LROAFF AI,LROAFF AF
Legislative Reform Order,Instrument approved,LROAFF AG
Legislative Reform Order,LROAFF AD,LROAFF AG
Legislative Reform Order,LROAFF AG,LROAFF AF
Legislative Reform Order,LROAFF AF,LROAFF AG
Legislative Reform Order,Instrument approved,LROAFF AI
Legislative Reform Order,LROAFF AD,LROAFF AI
Legislative Reform Order,LROAFF AI,LROAFF AN
Legislative Reform Order,LROAFF AN,LROAFF AL
Legislative Reform Order,Instrument approved,LROAFF AR
Legislative Reform Order,LROAFF AR,LROAFF AX
Legislative Reform Order,Ministerial statement summarising representations on the draft order,LROAFF AY
Legislative Reform Order,Instrument approved,LROAFF AS
Legislative Reform Order,LROAFF AS,LROAFF AY
Legislative Reform Order,LROAFF AY,LROAFF AN
Legislative Reform Order,LROAFF AV,Ministerial statement summarising representations on the draft order
Legislative Reform Order,Instrument has been determined to follow the negative procedure,LRONEG AA
Legislative Reform Order,LRONEG AA,LRONEG AB
Legislative Reform Order,LRONEG AA,LRONEG AB
Legislative Reform Order,LRONEG AB,LRONEG AC
Legislative Reform Order,LRONEG AC,LRONEG AA
Legislative Reform Order,LRONEG AA,Motion (prayer) to stop the instrument becoming law tabled
Legislative Reform Order,Motion (prayer) to stop the instrument becoming law tabled,LRONEG AB
Legislative Reform Order,LRONEG AB,LRONEG AB
Legislative Reform Order,LRONEG AB,LRONEG AA
Legislative Reform Order,LRONEG AA,LRONEG AY
Legislative Reform Order,LRONEG AA,LRONEG AH
Legislative Reform Order,LRONEG AA,LRONEG AI
Legislative Reform Order,LRONEG AA,LRONEG AJ
Legislative Reform Order,LRONEG AG,Motion (prayer) to stop the instrument becoming law withdrawn
Legislative Reform Order,Motion (prayer) to stop the instrument becoming law withdrawn,LRONEG AA
Legislative Reform Order,LRONEG AH,Motion (prayer) to stop the instrument becoming law lapsed at end of session
Legislative Reform Order,Motion (prayer) to stop the instrument becoming law lapsed at end of session,LRONEG AB
Legislative Reform Order,LRONEG AI,Motion (prayer) to stop the instrument becoming law not moved
Legislative Reform Order,LRONEG AJ,Motion (prayer) to stop the instrument becoming law not called
Legislative Reform Order,Motion (prayer) to stop the instrument becoming law not moved,LRONEG AC
Legislative Reform Order,Motion (prayer) to stop the instrument becoming law not called,LRONEG AD
Legislative Reform Order,Question on a motion (prayer) to stop the instrument becoming law put,LRONEG AD
Legislative Reform Order,LRONEG AD,LRONEG AC
Legislative Reform Order,LRONEG AC,LRONEG AB
Legislative Reform Order,LRONEG AB,LRONEG AA
Legislative Reform Order,LRONEG AA,LRONEG AB
Legislative Reform Order,Instrument has been determined to follow the negative procedure,LRONEG AG
Legislative Reform Order,LRO AD,LRONEG AG
Legislative Reform Order,LRONEG AG,LRONEG AH
Legislative Reform Order,LROCCC AH,LRONEG AH
Legislative Reform Order,LROCCC AH,LRONEG AA
Legislative Reform Order,LRONEG AH,LRONEG AC
Legislative Reform Order,LRONEG AC,Non-fatal motion (prayer) to object to the instrument tabled
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument tabled,LRONEG AA
Legislative Reform Order,LRONEG AA,LRONEG AC
Legislative Reform Order,LRONEG AC,LRONEG AB
Legislative Reform Order,LRONEG AB,LRONEG AD
Legislative Reform Order,LRONEG AB,LRONEG AE
Legislative Reform Order,LRONEG AB,LRONEG AG
Legislative Reform Order,LRONEG AB,LRONEG AF
Legislative Reform Order,LRONEG AH,Non-fatal motion (prayer) to object to the instrument withdrawn
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument withdrawn,LRONEG AE
Legislative Reform Order,LRONEG AE,Non-fatal motion (prayer) to object to the instrument lapsed at end of session
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument lapsed at end of session,LRONEG AF
Legislative Reform Order,LRONEG AG,Non-fatal motion (prayer) to object to the instrument not moved
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument not moved,LRONEG AG
Legislative Reform Order,LRONEG AF,Non-fatal motion (prayer) to object to the instrument not called
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument not called,LRONEG AH
Legislative Reform Order,Question on a non-fatal motion (prayer) to object to the instrument put,LRONEG AH
Legislative Reform Order,LRONEG AH,LRONEG AG
Legislative Reform Order,LRONEG AG,LRONEG AF
Legislative Reform Order,LRONEG AF,LRONEG AE
Legislative Reform Order,LRONEG AE,LRONEG AA
Legislative Reform Order,LRONEG AB,LRONEG AI
Legislative Reform Order,LRO AI,LRONEG AI
Legislative Reform Order,LRONEG AI,LRONEG BC
Legislative Reform Order,LROCCC AH,LRONEG BC
Legislative Reform Order,LRONEG BC,LRONEG AK
Legislative Reform Order,LRONEG AK,Question on a non-fatal motion (prayer) to object to the instrument put
Legislative Reform Order,Question on a non-fatal motion (prayer) to object to the instrument put,LRONEG AC
Legislative Reform Order,LRONEG AC,LRONEG AD
Legislative Reform Order,LRONEG AD,LRONEG AE
Legislative Reform Order,LRONEG AE,LRONEG AM
Legislative Reform Order,LRONEG AM,Decision on a non-fatal motion (prayer) to object to the instrument deferred
Legislative Reform Order,LRONEG AE,LRONEG AN
Legislative Reform Order,LRONEG AN,Non-fatal motion (prayer) to object to the instrument approved
Legislative Reform Order,LRONEG AE,LRONEG AO
Legislative Reform Order,LRONEG AO,Non-fatal motion (prayer) to object to the instrument rejected
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument approved,LRONEG AI
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument rejected,LRONEG AI
Legislative Reform Order,LRONEG AI,LRONEG AC
Legislative Reform Order,LRONEG AA,LRONEG AJ
Legislative Reform Order,LRO AI,LRONEG AJ
Legislative Reform Order,LRONEG AJ,LRONEG AK
Legislative Reform Order,LRO AD,LRONEG AK
Legislative Reform Order,LRONEG AK,LRONEG AL
Legislative Reform Order,LROCCC AH,LRONEG AL
Legislative Reform Order,LRONEG AL,LRONEG AM
Legislative Reform Order,LRO BL,LRONEG AM
Legislative Reform Order,LRONEG AM,LRONEG AL
Legislative Reform Order,LRONEG AL,Question on a motion (prayer) to stop the instrument becoming law put
Legislative Reform Order,Question on a motion (prayer) to stop the instrument becoming law put,LRONEG AD
Legislative Reform Order,LRONEG AD,LRONEG AE
Legislative Reform Order,LRONEG AE,LRONEG AF
Legislative Reform Order,LRONEG AF,LRONEG AP
Legislative Reform Order,LRONEG AP,Decision on a motion (prayer) to stop the instrument becoming law deferred
Legislative Reform Order,LRONEG AF,LRONEG AP
Legislative Reform Order,LRO BL,LRONEG AP
Legislative Reform Order,LRONEG AP,LRONEG AQ
Legislative Reform Order,LRONEG AQ,Motion (prayer) to stop the instrument becoming law rejected
Legislative Reform Order,Motion (prayer) to stop the instrument becoming law rejected,LRONEG AJ
Legislative Reform Order,LRONEG AF,LRONEG AN
Legislative Reform Order,LRO BL,LRONEG AN
Legislative Reform Order,LRONEG AB,LRONEG AB
Legislative Reform Order,LRONEG AA,LRONEG AB
Legislative Reform Order,LRONEG AB,LRONEG AD
Legislative Reform Order,LRO AD,LRONEG AF
Legislative Reform Order,LRONEG AA,LRONEG AD
Legislative Reform Order,LROCCC AH,LRONEG AD
Legislative Reform Order,LRONEG AD,LRONEG AE
Legislative Reform Order,LRO BL,LRONEG AE
Legislative Reform Order,LRONEG AE,LRONEG AF
Legislative Reform Order,LRONEG AF,LRONEG AA
Legislative Reform Order,LRONEG AB,LRONEG AA
Legislative Reform Order,LRONEG AA,LRONEG AB
Legislative Reform Order,LRONEG AB,Motion to refer the instrument to a Delegated Legislation Committee (DLC) tabled by the Government
Legislative Reform Order,LRO AU,LRONEG BA
Legislative Reform Order,LRO BD,LRONEG BA
Legislative Reform Order,LRONEG BA,LRONEG BB
Legislative Reform Order,LROLCC AF,LRONEG BB
Legislative Reform Order,LRONEG BB,LRONEG AS
Legislative Reform Order,LRONEG AS,Question on a non-fatal motion (prayer) to object to the instrument put
Legislative Reform Order,Question on a non-fatal motion (prayer) to object to the instrument put,LRONEG AE
Legislative Reform Order,LRONEG AE,LRONEG AH
Legislative Reform Order,LRONEG AH,LRONEG AL
Legislative Reform Order,LRONEG AL,LRONEG AU
Legislative Reform Order,LRONEG AU,Non-fatal motion (prayer) to object to the instrument approved
Legislative Reform Order,LRONEG AL,LRONEG AV
Legislative Reform Order,LRONEG AV,Non-fatal motion (prayer) to object to the instrument rejected
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument approved,LRONEG AK
Legislative Reform Order,Non-fatal motion (prayer) to object to the instrument rejected,LRONEG AK
Legislative Reform Order,LRONEG AK,LRONEG AE
Legislative Reform Order,LRO AV,LRONEG AW
Legislative Reform Order,Chamber debate,LRONEG AW
Legislative Reform Order,LRO AQ,LRONEG AX
Legislative Reform Order,LRONEG AW,LRONEG AX
Legislative Reform Order,LRONEG AX,LRONEG AY
Legislative Reform Order,LROLCC AF,LRONEG AY
Legislative Reform Order,LRONEG AY,LRONEG AZ
Legislative Reform Order,LRO BL,LRONEG AZ
Legislative Reform Order,LRONEG AZ,LRONEG AT
Legislative Reform Order,LRONEG AT,Question on a motion (prayer) to stop the instrument becoming law put
Legislative Reform Order,Question on a motion (prayer) to stop the instrument becoming law put,LRONEG AF
Legislative Reform Order,LRONEG AF,LRONEG AI
Legislative Reform Order,LRONEG AI,LRONEG AM
